景区名称,用户名,评论内容,标签
仙境源,我是安妮张,这个景点是联票里面最差的，强烈建议不要去了,negative
五莲山风景区,哗啦啦,很好的景点，当时去的的时候有点雾从从上往下看非常漂亮，建议喜欢看风景的一定要去,positive
定远舰景区,伪装,可看可不看，船上一圈讲解下来很匆忙，门票略贵，觉得就值30块钱,positive
青岛德国总督楼旧址,夏芽悠游,图1:水晶镜面照得真是光亮，梳妆台摆设的位置很讲究，总督夫人在此可以透过镜面看到此房间的各个角落，以防招人背后偷袭；图9:总督的书桌，两个抽屉中里面那个实为一个暗格。后来毛主席来此修养的1个多月时间在此办公，这间房也是朝向最好，直面露台的房间；图10:青岛迎宾馆即原德国总督府，据说当时第三任德国总督为了建这个别墅，超支被遣送回国了。该总督府当时造价10亿人民币，总4000多平米。现在德国学建筑的学生们还以此建筑为学习素材每年到访。因为此建筑代表了当时德国建筑的最高峰。各处拍照都很美，室内的琉璃在当时都很高级，各个房间的吊灯也各有不同，很值得细品。,positive
山东博物馆,zoetantan,展品不少，去的时候正赶上卖三叶虫化石，小块的,positive
大天鹅国家级自然保护区,se?i1984,正好退潮，可以走到海里和天鹅近距离接触。或许是天鹅已经习惯了这样的场面，过得甚是悠闲自得。听村民说，往年都是几万只，今天天鹅数量少了很多，这样也是吸引了无数扛长枪短炮的摄影爱好者。感觉游人比天鹅还多。为了保护这些天鹅，烟墩角的村民春节时也不放鞭炮，为淳朴村民的爱心鼓掌。,positive
金沙滩旅游度假区,毫毫,我们是下午5点到的金沙滩，此时还能感觉阳光有点晒，但是，不得不说，从此时开始，金沙滩真的很美。模仿当地人，拖鞋光脚走在沙滩上，脚底按摩的感觉，沙子特别细腻，微热，一切都是刚刚好。中途设有垃圾箱，没有看见任何人随地扔垃圾，这点感觉非常棒。我儿子1岁10个月，看见水就往里面跑，特别喜欢海浪往他身上拍的感觉。唯一的遗憾就是水质不太清澈，有绿膜。提前来时做好了攻略，说这地方冲凉是眼前的，所以没有去，但是特别人性的是，往回走沙子尽头的台阶有自来水可以供旅客简单冲洗一下，就是水流比较小。总体感觉不错，值得推荐。,positive
中国甲午战争博物馆陈列馆,轻飞扬,中国甲午战争博物馆陈列馆值得一看,positive
王府池子,东瞧西看,王府池子是济南老城内由泉水汇集成的一池清水，也是老济南人天然的游泳池，现在只允许鱼和鸭子在里面玩了。,positive
青岛葡萄酒博物馆,MFWR,介绍了很多葡萄酒的常识，从产地，种植，品类，品尝好多方面。,positive
胶州湾大桥,\/调皮蜜糖,胶州湾大桥位于中国山东省青岛胶州湾，东起于海湾大桥立交，途径李村河互通立交与胶州湾高速相接，至黄岛侧胶州湾高速公路东1千米处，顺接济青南线设计起点；在大桥主线中部设红岛互通立交与红岛连接线相接。全桥路段为青兰高速公路（国家高速G22）组成部分。,positive
青岛世界园艺博览会,蕉蕉,门票，安检，排队的栏杆都是模仿上海世博会的，不过人气不足啊，没人排队，没有人来参观。工作人员说双休日也要排队的，好吧。。。不过，上海世博会工作日也是人山人海的说。。。票价不便宜，比世博会便宜一点点，不过性价比就差很多，因为里面没有什么可以看的，老失望的。。。地方大的很，遮阳的地方都没有，值得看的东东很少，唯一比较好看就是植物园，不过上海植物园也有啊里面也有国际园，简直坑爹，就一个不怎么好看的房子，里面还都是出售小商品的，怪不得没人参观来都来了，就乘个缆车观光下吧，一看这么贵的门票，90元一张一刚，果断买黄牛票。地方真的很大很大，缆车的行驶时间蛮长的，可以拍拍照，看看风景。,neutral
青岛葡萄酒博物馆,Iris,青岛葡萄酒博物馆比起烟台的张裕酒庄要小很多，但是麻雀虽小，五脏俱全，该有的都有。,positive
珍珠泉,salen,风景不错，在这里人感觉很舒服.,positive
王羲之故居,GodMan王村长,很不错，书法圣地，值得到此一看。,positive
灵山岛风景区,兽司猫,顺着一条小路我们到了海边，灵山岛的西侧已经开发，但是没有沙滩，只有这种石头的海滩。东侧还没有开发完，去毛家沟和女娲公园的车也比较少。留心不难发现，这里的石头也有火山活动后的迹象，如果想足底按摩可以光脚走走。我因为穿着旅游鞋，只好光脚走这些石头，太刺激了。,positive
青岛火车站,yeyeye2000?,多年前去过，交通便利，配套齐全，可以去看看。,positive
明故城,吐吐,感觉城墙保存的还是很完整的，但不知道是不是后期修复的，因为曲阜的行程都没有请导游，所以很多内在东西都不知道，不过也确实是我个人也不感兴趣。。。,positive
中国海军博物馆,\/苏瑾,门票网上团27\/张，（从正门进是这个价，从侧门的话会多10块的船票钱，其实两个门步行就五分钟）。参观面积并不大，主要是在两艘舰艇上参观，男生可能对这些更感兴趣，团体行动的话这里也是非常好的选择。这种地方参观，爱国情绪就会悄悄跑出来。你的平静安稳，是因为身后有强大的祖国。重头戏是——潜艇。可以登艇，另外收费，票价100元\/张，据说会潜下去感受下，我们去的时候在下雨所以不开，稍微有点遗憾。,positive
蓬莱水城,David_Z_Zjb,不用单独购票，在140元的通票中，而且是平地，值得推荐，尤其是带老人和孩子的游客，中间有个湖，是活水，很好,positive
西霞口风景区,小鲤鱼,在岗口旁边，人少，干净，感觉比威海海水浴场好很多,positive
沂蒙山旅游区云蒙景区,??,感觉很赞每年都会去天然氧吧,positive
青岛唐岛湾,身体在路上,景观：木栈道、摩天轮、游艇、沙滩、垂钓、海湾,positive
偶园古街,崂山顽石,偶园古街是青州古城十里长街的组成部分，青州古街中心繁华地段-大约2公里。虽然它是一条新近重建的仿古街道（据了解，2010年以后筹备和重建），但古街的古建筑、历史古迹如：大牌坊（太保坊、大宗坊、柱国坊）个个有传说和故事、宋槐、天主教徒和基督教徒，特别是偶园，均有历史记载可供考证。古色古香的石板路，街道两旁招牌林立的特色商铺和餐饮店增加了古城的现代元素。文化味道和古朴风韵犹存，有很高的观赏价值。我们主要观赏范公亭西路向南的一段古街-偶园古街的中段和南段。观赏古色古香的石板路，五座大牌坊太保坊、大宗坊、柱国坊、大学士坊及一门科第坊，基督教堂、宋槐及偶园（原衡王府-孙家花园）等。,positive
大黑山岛,畅玩乐天,风景如画，犹如仙境，让人记忆深刻！,positive
青岛市音乐广场,sprite_清逸,各种雕塑，悠扬的琴声，阳光正好，海风吹来，时间停留在这一刻,positive
戚继光故里景区,迢迢云汉,非常不错！！非常不错！！非常不错！！,positive
漱玉泉,NJ,在趵突泉里面的一个小泉眼院中一景,positive
任家台度假村,音速之巅,很不错的一个度假村，玩得挺开心的了。,positive
周村古商城,新疆小达人儿,没有想象中的那么吸引人有点商业化了不过还是值得一去,neutral
金沙滩旅游度假区,Adrian.Z,这是一片新修的很漂亮的海滨公园，沙滩很长，延绵几公里的样子，沙滩边修建了雕塑，公园，很漂亮，很整洁。对我们来说，因为金沙滩很长，所以轻松可以找个没有太多游人的地方，尽情踢会足球....,positive
天上王城景区,小花,比较普遍的景区、没事的哈可以去玩玩,positive
湛山寺,时间漫步者,还好吧，风景不错，比较安静一些,positive
长岛（烟台）,喵。咪,长岛给人的感觉，就是一个慵懒的小渔村。生活节奏很慢，自给自足，靠海而生。,positive
周村古商城,幻想家,周村古商城，历史气息很浓郁，每个楼都能讲出自己的故事，但是并不大，基本上大半天就能逛完，可以带着相机去拍照片。记得找一个好模特！,positive
银沙滩景区海水浴场,西风姐姐,本来说去玩一天然后去金沙滩的，结果真的被征服了，一直在那玩到走。沙子是金灿灿的美极了，而且人不多，是一定要去的海水浴场！！,positive
杏坛,刻舟求剑（JX）,孔夫子讲学论道的地方，到济宁，必看；,positive
颜庙,superzhang1023,现在要单独买票了，12年以前还可以评三孔联票免费,neutral
孔子庙,bearmud,来过了，多亏旁边那个小朋友的介绍，否则登山中无法顾及旁边的景色。,positive
花仙子风景区,谷子,在日照的西湖镇，这里的花非常的多，非常适合新人拍婚纱照，我就看到好多新人在那里拍婚纱照的。,positive
大乳山滨海旅游度假区,你带路，我跟着,大乳山景区内人造景点很多，相比这下我更喜欢天然的美景，这儿更适合休闲游，约几个朋友聚聚散散心很适合,positive
崂山太清宫,乌镇小章,只记得走了爬了好久的山，几乎要回头走的时候，看见了，就坚持走了过去，道观，很值得你爬着山去看看。,positive
蓬莱水城,芮瑞睿锐,蓬莱水城位于蓬莱阁下，是中国现存最完整的古代水军基地之一。城背山面海，形势险峻，是海防要塞和海运的枢纽。当年戚继光就是在这里操练水师，抗击倭寇。,positive
灵岩寺,西部世界,千佛殿的彩色泥塑很值得一看，虽然年代久远，不过保存很好，郞公像虽然只是由松树和岩石组成，但是真的特别像一个拄着拐杖的老者。,positive
回澜阁,allen369,栈桥的标志性建筑，离火车站很近，等车的时候可以顺便转转。一楼可以免费参观，不过没什么东西。在旁边可以看看大海，远眺小青岛和海军博物馆。,positive
青州博物馆,昭君不穿越,博物馆三大镇管之宝，除了佛像其余都是复制品，。看青州博物馆足以看出青州灿烂的历史文化。没想到一个小县城有馆藏这么丰富的博物馆。,positive
峄山,力哥,还不错的这个景点，值得一去，距离市区也不是多很远，有时间的可以去看看,positive
张裕酒文化博物馆,萧??,不推荐，商业感太重了，根本就是卖酒的商店,negative
青岛市民俗博物馆,★_8弃,天后宫，建议没必要去，都是骗你给钱的,negative
碧霞祠,白格,最好是头一天晚上下雨之后第二天上去，满眼的云雾，特别美，喜欢摄影的朋友可以蹲点！值得一去！,positive
彩石溪,想走就走,不得不说的地方，人少风景美。自然中的美随处可见。在前山的胜名之下，后山的自然风光也有着不同的滋味,positive
世界风筝都纪念广场,叶子,潍坊市风筝之都，在这里可以看到各式各样的风筝。,positive
小鱼山文化名人街区,"Hi,丹",小鱼山真的是文化名人街区，各种故居纪念馆，错落分布着，这次只去了康有为的，有些是我水平有限路过也不认识。,positive
微山湖湿地红荷风景区,phying1234,6，7、8月份荷花大量盛开时节去游览不错，景色很美。大片大片的荷花竞相开放。,positive
泰山世界地质公园,大玉玉,总要自己爬一次才算到了泰山，晚上开始爬，到泰山顶看日出,positive
淄博市博物馆,考古进行时,淄博博物馆虽然小，但有些国宝重器。图1-5是商王村出土的战国墓随葬品。很是精美，甚至怀疑断代出现了问题[偷笑]。图5酷似鸡尾酒调酒器。还有西汉齐王墓出土文物。发掘了随葬墓和齐王墓的风土部分，主墓还没有发掘。期待中。出土文物有青铜器，殉狗坑，铠甲，车马器等。还有石器时代的一些展品。简要介绍了齐国历史和人物。,positive
水泊梁山风景名胜区,浮沉,可以去看看，毕竟是水浒文化的一部分，不过别抱太大希望，基本都是近代修建的景观，最后面的靖忠庙能不进就别进了，就几尊近年修的像，而且进庙就有工作人员给你递香，让你捐香火，我就在门口站了一下就出来了，出来时还听到另一个人问递香的那个“交钱了吗”,positive
日照海滨国家森林公园,似云轻青,公园特别美，有海滨区，海岸线很漫长，海水也干净，还有大片森林区，去的时候正碰上荷花盛开，大片大片特别美！我们住在公园里面，服务业很满意！,positive
世界风筝都纪念广场,_____丑丑丶,去的时候天气有点热，还是白天，没什么人,neutral
情人坝,小木,到奥帆基地，肯定要来这走走。晚8店观赏灯光秀的好位置。,positive
鲁山国家森林公园,艾小玛.,这是我的家呀~景色没的说，1184m的高度绝对一览众山小，自然风光，空气清新绝对值得一去！,positive
雪山彩虹谷旅游区,雨雪霏霏,滑草和同事出去玩儿的时候坐过一次，我还充大胆的先坐，想给她们鼓鼓气，结果她们听到我的惨叫后都不敢坐了。我再也不坐了，不能充大胆的。我们绕道下来，就是马戏表演的场地，刚刚结束了一场表演，下一场要13点，询问了一下驯兽员有什么动物，他说有老虎、狮子、狗熊、猴子、山羊。嗯，值得看一下啊，答应孩子明天再看。??????野战谷里可以彩弹射击，大家装备起来还真是有模有样的，围起来的“战场”里突突突的枪声——战斗很激烈啊！?????其他的项目我们只是路过没有留意。雪山彩虹谷还只值得一去的。??????我们到了彩虹谷才七点多，第一波游客还没有到，我们身后的都是同行的比赛的工作人员。介绍一下彩虹谷吧，门票50元，包括有彩虹谷、滑草、马戏表演、野战谷......?????彩虹谷就是一个山谷从上面有很多细的管子往下喷水，就像下雨一样，旁边是潺潺的小溪，其实景色是很美的。在检票口有卖雨衣和鞋套的，因为带着孩子就给他买了一套，事实证明很明智。入口每人要拿一把伞，一排鲜艳的橙色的伞在山谷里穿梭看起来是很漂亮的。可是伞比较沉，我一手撑伞，一手领孩子，走在中到大雨的山谷里，鞋、裤腿都湿了，幸好包和上衣有些防水。孩子虽然穿着雨衣鞋套，但还是都湿了，好不容易走了出来，很是狼狈。这个项目适合夏天玩儿，穿着凉鞋，天气热，淋湿了也没关系。听到旁边的人说怎么没有看到彩虹？我只顾赶快走出来根本都没想彩虹的事儿，是啊，这不是彩虹谷吗？另一个人说，今天阴天哪来的彩虹。哦，对啊！,negative
海驴岛,灰灰,真的只是个小岛，个人有个人的观点，反正我觉得有点失望，不如刘公岛，不过海鸥很多，我这个时候去正好那些海鸥都在孵蛋，估计678月份就是真的海鸥满天飞了,positive
山陕会馆,艾小格格,没想到在聊城还会有如此珍贵的财富，很意外，也很有收获，应当好好发扬和保留下去,positive
雪野湖,Rainnie,雪野湖是一个还没有完全开发的地方，这里有新建的别墅区，价格不是很贵，很多济南的大地主都会在这里置一块地，以后作为疗养的地方，呵呵，还有这里农家菜也是很赞的！,positive
泰山风景名胜区红门,六月荷花,很亲切，我们就从这里徒步上山的。,positive
唐摩崖石刻,九社富裕,泰山上各种时刻非常的多，喜欢书法的朋友可以多关注,positive
青岛唐岛湾,小小喵,唐岛湾就在石油大学附近，我上学的时候还没有修建好,positive
青岛路老建筑群,Fush,建筑都挺有德式风格的，但是路上都停了不少车。路上没什么行人，散步散心的话还是可以走走的,positive
万平口海滨灯塔,雨,据说是当地最古老的灯塔，是为渔民领航方向的地标！！,positive
瞻鲁台,白格,这个台子上去的人挺少的，有提示说出了事概不负责的提醒，哈哈哈~天气好的时候能看到整个泰安市吧，但是据说是云雾都很大，晴天很少。,positive
青岛市民俗博物馆,疯子,青少年应该去看一看青岛的老文化老习俗。,positive
仙境源,dongyk,依据‘海上仙山’传说而建，曾因出土距今2500年的人类头骨化石和百座墓葬而闻名，被誉为中国北方第一村。这里是秦皇汉武求仙觅药的地方，也是唐王东征的驻扎之地。景区内有唐王李世民东征浮雕、古城墙、亭阁、栈桥、九龙洞、垂钓台等。仙境源可以东观黄海喷薄之日出。,positive
仰口风景游览区,甜丞花瑞海,从远洋大厦坐110到终点就是仰口景区。我在仰口足足游览了6个小时。岚光霭气中群峰峭拔、悬崖峭壁下隐蔽着诸多奇石怪洞。尤其是集幽深、奇险、雄伟于一处的通天奇洞——觅天洞，真的是游览的好去处。从觅天洞走出到达顶峰的时候，你会感谢自己这一路并没有放弃，一直坚持到最后的决心。,positive
养马岛,散之,这里真不错，听说送给秦始皇养马的地方！,positive
回澜阁,小智,喝过青岛啤酒的小伙伴有没有关注到青岛啤酒的商标就是以青岛的标志性建筑回澜阁为原型的。回澜阁西面看到的是美丽的现代化城市青岛，东面看到的又是一些出海的渔船。,positive
水泊梁山风景名胜区,君诺行必果,去的时候，没报太大希望的。去过之后，觉得还是不错的，没有失望。首先有风景，可以爬山。然后有人文，江湖气还是挺浓的。忠义堂的表演不错，演员表情还是挺到位的。最好的地方是李逵把守的黑风口，站在黑风亭，风景很长的好，而且风非常的大，特别凉快。,positive
八仙过海景区,晴转晴,建议游玩时间：2小时左右，这里应该是后期人造的景点，整个景区在海上建造，呈“8”字型。既为“八仙过海景区”，当然到处都是八仙的塑像、大殿，讲解员会为你讲述八仙的来历，法器及故事。除了了解八仙典故外，因为两边靠海，在闷热的夏天走累了，找个临海处靠着栏杆歇歇，吹吹凉凉的海风，相当舒服。,positive
雪山彩虹谷旅游区,幸福式、开始,记得滑草的时候太惊险了，老觉得体重太重会半道翻下来，看到自己表情还算正常。,positive
觅天洞,木子楠,雨虽然停了，但觅天洞里面简直就是个水帘洞啊!防不胜防淋个透心凉，雨后山巅雲雾缭绕，宛如仙境。,positive
日照竹洞天风景区,摇一摇,风景和表演不错，儿童游乐设施挺好玩的。,positive
泰安岱庙,"Hi,丹",岱庙与北京故宫、曲阜三孔、承德避暑山庄和外八庙，并称中国四大古建筑群。凭泰山门票可以免费参观岱庙，检票员让我们给她看在泰山拍的照片就可以了。岱庙挺大的，四周都是可登的城墙，很多古建筑和庭院，然而时间有限其实还有三分之一最终没有逛到有点可惜。,positive
云步桥,布丁奶茶,如果是白天的话还挺有的看的，高山流水~~,positive
仰口风景游览区,山野小魚,仰口就是因块石头而得名的，仔细看，像一个人仰着头，张着嘴？没有爬到最高点，在维修，上不去了。,positive
曲阜三孔景区,孜孜不倦,孔庙里庄严、肃穆，文化气息很浓厚。,positive
日照九仙山风景区,晴朗,号称是北方的雁荡山，风光秀美，潭水清澈，山里面有很多农家乐，吃住价格不贵，烤羊腿，山野味是特色。,positive
大观园（济南）,蜗牛的旅途,大观园的故事多了大观园好看好玩的也多周边的老商埠更是济南历史的缩影,positive
超然楼,寒飞home,大明湖畔，超然楼前，有民俗表演；如今这种庙会年俗，好像在城市中间越发的少见了,positive
刘公岛,czj,刘公岛位于山东半岛最东端的威海湾内，人文景观丰富独特，既有上溯千年的战国遗址、汉代刘公刘母的美丽传说，又有清朝北洋海军提督署、水师学堂、古炮台等甲午战争遗址，还有众多英租时期遗留下来的欧式建筑，素有“东隅屏藩”和“不沉的战舰”之称,positive
四门塔,铭,似乎是济南四大名声之一，环境还不错，南部山区第一有名的景点……,positive
沂蒙山旅游区云蒙景区,levono,爬山比较辛苦。好处是我们当时避开旺季去的，所以没几个人，倒是难得的清净~,positive
大乳山滨海旅游度假区,清呀么清清水儿,乳山就是因为这座山得名。景区花了不少钱翻修，所以门票价格有点小贵。山东卫视很火的《快乐向前冲》在这里取景的~很多游客慕名而来。,positive
小鱼山文化名人街区,赵火丁,名人故居很分散，要提前做好功课才能找到。很多当地人也不知道或是不注意其存在，所以很难打听和问路。提前做功课重要。,positive
曲阜师范大学,认真堕落,不要门票的，可以去看看，毕竟在孔子的地盘上建起的学校嘛。。。。,positive
灵岩寺,doudouxiong2007,灵岩寺位于济南长清区万德镇，是一个佛教圣地，夏天去远离了城市的喧嚣，这里非常的宁静凉爽。灵岩寺历史悠久，自唐代起就与浙江天台国清寺，湖北江陵玉泉寺，南京栖霞寺并称天下“四大名刹”。唐玄奘曾住在寺内翻译经文，唐高宗以来的历代皇帝到泰山封禅，也多到寺内参拜，泥塑活灵活现，山清水秀，处处清幽，香火旺盛。交通方便，在济南市区解放桥北的家乐福门口，坐游707，很方便就到了。门票：60.00元。性价比高，非常值得一去。,positive
经石峪,Yary漫游记,大二去的泰山，体会了一把“会当凌绝顶，一览众山小”的快感，回来后一周下楼都扶着墙(￣◇￣;)由于夜爬泰山，上山时没注意到经石峪，下山时看到了，没太看懂，可能对佛教兴趣不大的缘故吧～,positive
月牙湾公园,米粒儿,就是石头的海滩，小石头有水还是很晶莹的,positive
鱼山路,lenka,试想一下就在这条路康有为沈从文都曾在这里思考写文生活对比当今一些急躁的城市因发展的步伐过于急躁而容纳不下这些老房子一个个的大红拆字拆掉的不仅仅是一栋栋沧桑的老房子更是磨灭了中国人的记忆我始终坚信我们只是历史的传承者不是拥有者应该虔诚而又珍惜的对待这些历史的印记,positive
车由岛,ZY,5月份去的，海鸥太多了，很喜欢这个地方，绝对惊艳！,positive
雪山彩虹谷旅游区,樊,一般，彩虹谷是人工喷水形成的彩虹，水多地滑。还有滑草等一些游乐设施，没什么意思。,neutral
青岛火车站,失意情圣,站前挺乱的，要饭和拦路的小孩挺多的，,negative
烟台大学(北区),杨大笨子,烟台市最适合人居城市之一，环境很好，大学城附近吃的也多,positive
世界风筝都纪念广场,浩浩chan,干净的城市，民风也很淳朴，只可惜不是旅游城市，景点不多。,positive
泉城广场,fincen,免费的广场，有喷泉，广场也很大，在趵突泉的边上,positive
原山国家森林公园,丛林守护者,这个地方是来充分说明前人种树后人乘凉的，解放前期这里是个光秃秃的小山，七八十年代政府号召大家上山种树，于是，一颗颗松树苗和一担担清水就这样撒遍了山头，再后来引山泉，修石阶，通公路，建鸟语林，建山庄，建游乐场，到成立原山国家森林公园的时候，已经是90年代的事了。,positive
微山湖微山岛景区,wl小虫,去微山湖最好是7月份，我们8月下旬去荷花已经过了盛期，在湖中荡舟时，看到的是田田荷叶间偶尔的几朵荷花，但莲蓬好多啊，大多还没有采，所以我们吃到了最新鲜的莲子，在湖中的餐馆里，吃到了非常美味的微山湖鱼，小木舟上，还有渔民卖自己淹的咸鸭蛋。,positive
微山湖湿地红荷风景区,最酷的仔,额，和老爸一起回来的路上去的，脏脏的湖，破破的船，到处都要钱的摆渡，一进门就入了套路,positive
潍坊范公亭公园,脏先生,青州博物馆西侧，整个园区很大，范公亭，李清照故居等，石桥，古树，池塘，风景优美，适合茶余饭后休憩。,positive
幸福门广场,瞎玩,呃，晚上路过看看，一座“门”形的建筑。,positive
青岛海底世界,大愚哥,其他的暂且不说好坏，那群服务人员就是地痞流氓，行为恶劣，特别是停车场入口那个长的又黑嘴又臭的恶痞，没有一点素质，有这样的社会残渣在，海底世界离关门不远了！！！,negative
蓬莱阁景区-田横山,雨昊,"田横山俗称老北山，地处蓬莱陆地最北端，也是胶东半岛最北端，这块突入海中的陆地岬角称为登州岬或蓬莱岬，是渤黄二海的分界处，具有""一山分二海""的独特地理位置。东与丹崖山隔一小海湾相接，石壁高峻;西、北两面半浸海中，形势险要。汉时韩信破齐，齐王田横率其徒五百人东走，曾筑寨于此，因此得名。",positive
青岛邮电博物馆,贝加尔瑾蘅,我是很推荐这里的，可以看看青岛的通信史发展，而且这里可以写明信片，也可以寄慢递。感觉在阳光明媚的午后呆在这里写写东西，给未来的自己写信，是件很美好的事～我和朋友一起写了封一年后的慢递，希望一年后的我们可以达成自己现在的心愿哦～,positive
泰山风景名胜区-南天门,副业影评人,会当凌绝顶，一览众山小！爬到南天门，看着天街，很奇妙的感觉！,positive
青岛国际啤酒节西海岸主会场,花生小和尚007,来青岛这个啤酒节还是很值得一去的，但时间只是持续半个月，大约是在八月。,positive
天外村,ariel小仙旅,"它位于西溪谷口,这里既是山城结合部,也是环山公路与西溪游览公路的交汇点和游客集散地。2000年开始对天外村路进行综合治理，首先建成“天圆地方”广场，“天圆地方”是“天人合一”之意，古帝王封禅大典即是在泰山极顶设圆坛以告天，然后在山下设方坛以祭地，以示“天圆地方”。广场占地总面积3.5万平方米。主要包括方形广场和圆形广场（方形广场边长为36米，面积1000多平方米；圆形广场直径为108米，面积1万多平方米，全部用泰山花岗石材铺装），在两广场连接通道两侧，安置12根高7.2米、直径0.9米的龙柱，表示从秦始皇至乾隆皇帝曾有12位帝王祭告泰山。在连接通道中央安置长27米、宽3米的以唐玄宗封泰山为内容的浮雕。",positive
小鱼山,七海云纹,又是一个俯瞰青岛核心景区的绝佳位置,positive
碧霞祠,╰→范大宝,看了日出之后人们都到碧霞祠排队进香，晚上禁止焚香烧纸的。,positive
仰口浴场,Ritagao,崂山风景区，仰口风景区里的海水浴场，因为离着市区远，一般来这里的都是就近的市民。相比较市区的海水浴场，这里的沙子更粗一些，沙滩的地势较高，涨潮很快，地势差也很大，尽量不要往深处游。仰口浴场离着觅天洞很近。,positive
青岛世界园艺博览会,角角角啦,举办的那年去的，还不错，喷泉好看,positive
小鱼山,NANA_LOVE_HK,夏天晚上六点半以后免门票，公园很小，比信号山小很多，游览总共需要不到半个小时，可以俯瞰第一海水浴场，晚上可以看日落！,positive
偶园古街,bluecrane,这是生活着的老街老巷。古朴大气的牌坊只用青石修葺，只是正中在黑底上用白线条勾勒出“偶園商業街”五个楷体字来，并不像北京那五色牌坊似的招摇，以至于前一日黄昏，我们从它跟前走过，竟未发现这等趣处。街的正中摆着各式摊位，卖煎饼的，卖冰糕的，卖水果的，卖凉皮的；两边沿街的店面也把自家卖的文具、瓷碗什么的摆在门前，向路人表明经营范围。又不时有进出的车辆缓缓避让着经过，昔日宽阔的街道，也逐渐局促起来。这里的人们非常朴实憨厚。细节多有回族特色。桑葚便宜又好吃。,positive
青岛中山公园,Ulric,中山公园距离八大关风景区不远处，是一个免费参观的公园，公园的面积很大，但是没有什么特色的景点。,positive
大黑山岛,Mia,也是长岛离岛的其中一个，只闻其名，有空也去一去，如果能去的话。,positive
济南动物园,伊斯坦布尔的猫,每年都要带孩子去喂狗熊。哈哈，孩子最喜欢的活动了。里边动物很多，狗熊、狮子、老虎、大象、熊猫……动物园还是很大的，逛2个小时都不一定能完事。还有百鸟园之类的地方。可以喂小动物，有儿童游乐设施。而且门票是按年龄收取，不论身高，只要不满6岁就可以不要票，当然满6岁不够高的孩子还是要主动买票的，既然人家这么信任我们，是吧。,positive
潍坊世界风筝博物馆,巨蟹午马,在国内独树一帜的风筝博物馆，已成为潍坊特色的代表。,positive
芙蓉街,陈禹同Jason,芙蓉街就是芙蓉街，总部会让你失望的，里边的各种小吃街，其实现在的小吃街都差不多，全国各地的美食全部都有，但是总有那么几家好吃的小店，一定要扶着墙饿着肚子进去，再扶着墙撑着出来，经过一溜街得出的经验来推荐烤脑花、网红榴莲饼、大猪蹄子、烤凤爪。不说了，我去打嗝去了,positive
第一海水浴场(南海路),HalaZz,建议去第二海水浴场或者石老人海水浴场，因为第一海水浴场人会比较多，还有建议大家8月份去，有青岛啤酒节唱歌喝酒看表演超级爽的，吃海鲜不一定要去高档的地方去，因为一般的路边摊都很好的，还有一定要喝青岛啤酒啊——方便袋装的那种，还有坐公交啊，一站坐到底，感受一下青岛的风！,positive
日照世帆赛基地,胡哈哈,酒店就在帆船基地里面，打开露台门就能看见海和帆船。午觉睡醒临时决定坐帆船出海晃晃，到了码头就能买票，立刻开船海上晃晃时间虽不长只有1小时，但对于我来说，已经足够。,positive
太公岛,海底世界,其实只能说差强人意。想找太公钓鱼的感觉的话，还是不建议，可能会失望。,negative
泰安岱庙,凌纵九霄,古时皇帝爬山时的行宫，门票还算公道，最好找个导游了解下人文故事，人少就算了,positive
神雕山野生动物保护区,戴维,神雕山适合家庭一起来玩，海洋动物都是散养的，陆地动物也不少，靠近海边环境好,positive
雪山彩虹谷旅游区,miss-cc,挺好玩的~~虽然水是人造的~~玩水玩的好爽~~进去一律要用统一的伞~~挑吧干净的~~注意啊~~最好穿运动鞋，平底鞋~~路上，台阶上~因为潮湿长苔藓了~~加上有水很滑的~~~运气好可以看道彩虹~~带着朋友家人一起去玩~~,positive
青岛唐岛湾,天明,骑着自行车，沿着唐岛湾公园海边逛一圈，这才觉得生活是多么的快乐,positive
圣保罗教堂,忙着减肥的胖子,离开青岛的前一天去的，青岛三大教堂之一，值得一游。,positive
林海公园,鹿的猫,林海公园内山峦起伏绵延，千亩松涛林海，浪绿波翠，以空气清新、负氧离子含量高而闻名，是1992年林业部批准的长岛国家森林公园主体部分，现已正式对外开放。,positive
竹泉村旅游度假区,柳絮,竹泉村用一个“秀”字来形容绝不为过，整个村子灵气有加，有山、有水、有翠竹，更有古朴的民风和原汁原味乡村古韵，这在北方的乡村是不多见的。竹泉村是充满清凉纯净的独特天地，它朴素、自然、真淳，是现实中的桃花源，也是忙碌世人的梦里老家。,positive
威海国际海水浴场,天涯浪子,很美的一个地方，没有太多的娱乐设施，就是游泳，看海，玩沙子，海水非常清澈，在海边农家乐吃了一顿海鲜，价格还可以，不是贵的离谱的那种,positive
八仙过海景区,Jivin,这个感觉没啥特别的，但因为在烟台，可能感觉算是不错了吧,neutral
青岛太平角公园,kimsim,比八大关好，人少，阳光好的时候走一走这附近，找个咖啡馆坐坐，挺好,positive
公主楼,寒泉,公主楼四周，根据丹麦作家安徒生童话故事设置的雕塑：丑小鸭、卖火柴的小女孩、皇帝的新装、海的女儿……使这里异彩纷呈。,positive
小鱼山,阿蒙,仅次于信号山，登高望远的地方，登上去可以看第一海水浴场和周边红色屋顶的房子，门票20块,positive
